token	tag	bjw
rt	~	0.3964487222037836
:	~	0.344820592248405
...	~	0.1124940074492016
,...	~	0.0018623004019618688
---	~	0.0018623004019618688
—	~	0.0037061621860825307
cont	~	0.012925471106685842
<	~	0.011081609322565179
halort	~	0.0018623004019618688
mentionrt	~	0.0018623004019618688
>>>	~	0.0018623004019618688
<==	~	0.0018623004019618688
~	~	0.0018623004019618688
<<	~	0.0018623004019618688
--	~	0.0037061621860825307
...:	~	0.0037061621860825307
....	~	0.0018623004019618688
-	~	0.005550023970203193
«	~	0.0037061621860825307
)rt	~	0.0018623004019618688
<-	~	0.0018623004019618688
fwd	~	0.0018623004019618688
»»»	~	0.0018623004019618688
-----	~	0.0018623004019618688
-->	~	0.0018623004019618688
rt	~	0.0018623004019618688
>	~	0.0018623004019618688
,	~	0.0018623004019618688
WordNotFound	~	1.8438617841206624e-05
hmm_user	@	0.9490595804471614
@	@	0.002477383094633569
wildboyclothing	@	0.0012448541918307983
deja_fckn_vu	@	0.0012448541918307983
WordNotFound	@	1.2325289028027707e-05
i	O	0.29973071176937127
you	O	0.20843093494660347
she	O	0.015686961654093737
they	O	0.031364701108508405
it	O	0.09776453879779406
me	O	0.08762011915081987
this	O	0.0018536621354925576
yo	O	0.0009314421675858126
what	O	0.03413136101222864
us	O	0.013842521718280244
y'all	O	0.003698102071306048
them	O	0.015686961654093737
who	O	0.022142501429440953
he	O	0.025831381301067935
we	O	0.03505358098013538
dem	O	0.0009314421675858126
dey	O	0.0018536621354925576
her	O	0.008309201910839774
him	O	0.008309201910839774
i&	O	0.0009314421675858126
urself	O	0.0009314421675858126
youuuu	O	0.0009314421675858126
he/she	O	0.0009314421675858126
myself	O	0.002775882103399303
youuu	O	0.0009314421675858126
chu	O	0.0009314421675858126
ju	O	0.0009314421675858126
themselves	O	0.0009314421675858126
me”	O	0.0009314421675858126
yu	O	0.0018536621354925576
my	O	0.0009314421675858126
you♥	O	0.0009314421675858126
anyone	O	0.0009314421675858126
these	O	0.0009314421675858126
yall	O	0.0018536621354925576
how	O	0.0009314421675858126
urs	O	0.0009314421675858126
чöü	O	0.0009314421675858126
ii	O	0.0009314421675858126
when	O	0.0018536621354925576
ittt	O	0.0009314421675858126
ya	O	0.0009314421675858126
everybody	O	0.0009314421675858126
me6	O	0.0009314421675858126
itself	O	0.0009314421675858126
that	O	0.0018536621354925576
iit	O	0.0018536621354925576
wat	O	0.002775882103399303
one	O	0.0009314421675858126
over	O	0.0009314421675858126
at	O	0.0009314421675858126
cha	O	0.0009314421675858126
someone	O	0.0009314421675858126
yhuuuu	O	0.0009314421675858126
meeeee	O	0.0009314421675858126
where	O	0.0018536621354925576
dat	O	0.0018536621354925576
any1	O	0.0009314421675858126
why	O	0.0018536621354925576
yours	O	0.0009314421675858126
yourself	O	0.0009314421675858126
hmm_#	O	0.0009314421675858126
mine	O	0.0018536621354925576
WordNotFound	O	9.222199679067452e-06
see	V	0.010415018281459519
am	V	0.00583424254791075
dont	V	0.005417808390315406
care	V	0.0020863351295526663
realises	V	0.000420598499171296
will	V	0.009582149966268834
be	V	0.025823082112487194
shut	V	0.001253466814361981
go	V	0.01083145243905486
do	V	0.013746491542222258
getting	V	0.0020863351295526663
put	V	0.00583424254791075
was	V	0.01874370143336637
got	V	0.016245096487794312
passes	V	0.000420598499171296
speak	V	0.001253466814361981
are	V	0.022075174694129108
absorbs	V	0.000420598499171296
drys	V	0.000420598499171296
don't	V	0.016661530645389656
ask	V	0.0029192034447433515
know	V	0.01083145243905486
does	V	0.0029192034447433515
told	V	0.0029192034447433515
tweet	V	0.001253466814361981
hmm_#	V	0.003335637602338694
have	V	0.023324477166915138
vote	V	0.0020863351295526663
is	V	0.050392697410612405
love	V	0.011247886596650204
party	V	0.000420598499171296
please	V	0.00749997917829212
seeing	V	0.0016699009719573236
think	V	0.008332847493482806
r	V	0.0029192034447433515
must	V	0.0016699009719573236
read	V	0.0029192034447433515
has	V	0.00749997917829212
losing	V	0.000420598499171296
bet	V	0.0020863351295526663
should	V	0.004584940075124722
gotta	V	0.003335637602338694
stay	V	0.001253466814361981
became	V	0.000420598499171296
starts	V	0.000420598499171296
come	V	0.005417808390315406
win	V	0.0029192034447433515
made	V	0.0037520717599340363
happened	V	0.001253466814361981
strikes	V	0.000420598499171296
thank	V	0.0037520717599340363
cannot	V	0.00749997917829212
dm	V	0.0008370326567666385
send	V	0.0016699009719573236
help	V	0.0025027692871480087
reach	V	0.001253466814361981
rt/follow	V	0.000420598499171296
took	V	0.0025027692871480087
saw	V	0.0020863351295526663
try	V	0.0029192034447433515
knows	V	0.0008370326567666385
tell	V	0.0025027692871480087
smoke	V	0.0008370326567666385
live	V	0.003335637602338694
hoping	V	0.000420598499171296
would	V	0.00749997917829212
driving	V	0.001253466814361981
turn	V	0.0020863351295526663
knocked	V	0.000420598499171296
doin	V	0.001253466814361981
awaiting	V	0.000420598499171296
chase	V	0.000420598499171296
wait	V	0.004168505917529379
gonna	V	0.005417808390315406
backs	V	0.000420598499171296
taught	V	0.000420598499171296
play	V	0.0020863351295526663
allowed	V	0.0008370326567666385
forecast	V	0.000420598499171296
hold	V	0.001253466814361981
look	V	0.004584940075124722
smell	V	0.0020863351295526663
compelling	V	0.000420598499171296
beefing	V	0.000420598499171296
lookin	V	0.000420598499171296
like	V	0.005001374232720064
could	V	0.004168505917529379
bare	V	0.000420598499171296
features	V	0.000420598499171296
start	V	0.0025027692871480087
claiming	V	0.000420598499171296
likes	V	0.000420598499171296
being	V	0.0037520717599340363
save	V	0.0020863351295526663
joined	V	0.000420598499171296
‘die	V	0.000420598499171296
say	V	0.00583424254791075
votes	V	0.000420598499171296
need	V	0.007916413335887463
listen	V	0.000420598499171296
been	V	0.003335637602338694
judge	V	0.000420598499171296
gets	V	0.0016699009719573236
welcome	V	0.001253466814361981
buy	V	0.0016699009719573236
unfolds	V	0.000420598499171296
can	V	0.016245096487794312
admit	V	0.000420598499171296
crying	V	0.0008370326567666385
did	V	0.00583424254791075
doesn't	V	0.003335637602338694
happen	V	0.001253466814361981
makes	V	0.0029192034447433515
won	V	0.0008370326567666385
broke	V	0.000420598499171296
offended	V	0.000420598499171296
out	V	0.000420598499171296
strides	V	0.000420598499171296
insult	V	0.000420598499171296
want	V	0.00749997917829212
watch	V	0.003335637602338694
asked	V	0.0008370326567666385
watched	V	0.0016699009719573236
die	V	0.0016699009719573236
cry	V	0.0016699009719573236
get	V	0.021658740536533768
fly	V	0.000420598499171296
agree	V	0.000420598499171296
humanizing	V	0.000420598499171296
associating	V	0.000420598499171296
touch	V	0.000420598499171296
kept	V	0.000420598499171296
going	V	0.008332847493482806
suggest	V	0.000420598499171296
haas	V	0.000420598499171296
use	V	0.0020863351295526663
wish	V	0.0020863351295526663
hear	V	0.0025027692871480087
might	V	0.0020863351295526663
because	V	0.000420598499171296
predict	V	0.000420598499171296
won't	V	0.0016699009719573236
loses	V	0.0008370326567666385
ran	V	0.0008370326567666385
hurts	V	0.001253466814361981
cooking	V	0.0008370326567666385
pressd	V	0.000420598499171296
holla	V	0.0008370326567666385
tryna	V	0.000420598499171296
fucc	V	0.000420598499171296
display	V	0.000420598499171296
sucks	V	0.0016699009719573236
wanted	V	0.000420598499171296
sat	V	0.000420598499171296
doing	V	0.0025027692871480087
fuck	V	0.001253466814361981
couldn't	V	0.0008370326567666385
resist	V	0.000420598499171296
sorry	V	0.000420598499171296
camping	V	0.000420598499171296
creates	V	0.000420598499171296
eat	V	0.0025027692871480087
planning	V	0.000420598499171296
ain't	V	0.001253466814361981
directed	V	0.000420598499171296
talking	V	0.0016699009719573236
sitting	V	0.001253466814361981
expect	V	0.0008370326567666385
take	V	0.004168505917529379
pardon	V	0.000420598499171296
own	V	0.000420598499171296
covered	V	0.000420598499171296
hate	V	0.0037520717599340363
danced	V	0.000420598499171296
liking	V	0.000420598499171296
m	V	0.000420598499171296
question	V	0.000420598499171296
wouldn't	V	0.0016699009719573236
feel	V	0.004584940075124722
inconvenienced	V	0.000420598499171296
weird-ed	V	0.000420598499171296
move	V	0.0008370326567666385
bumpin	V	0.000420598499171296
changing	V	0.000420598499171296
follow	V	0.00583424254791075
coming	V	0.0029192034447433515
suffers	V	0.000420598499171296
check	V	0.005417808390315406
lyin	V	0.000420598499171296
were	V	0.003335637602338694
trying	V	0.001253466814361981
figure	V	0.0008370326567666385
mention	V	0.000420598499171296
looking	V	0.0037520717599340363
involved	V	0.000420598499171296
learned	V	0.0008370326567666385
withheld	V	0.000420598499171296
said	V	0.004584940075124722
